line_number,loan_category,mdrm_30_89,mdrm_90_plus,mdrm_nonaccrual,prefix,forms,start_date,notes,mdrm_single
M.8,Nonaccrual assets sold during the previous six months,-,-,-,RCON,041,2017-03-31,single-column memorandum (nonaccrual flow); code in mdrm_single,RCONC411
M.9,Loans to nondepository financial institutions included in Schedule RC-N item 7,RCFDPV23,RCFDPV24,RCFDPV25,RCFD,031,2024-12-31,,-
M.9,Loans to nondepository financial institutions included in Schedule RC-N item 7,RCONPV23,RCONPV24,RCONPV25,RCON,041,2024-12-31,,-
2,Loans to depository institutions and acceptances of other banks,RCONB834,RCONB835,RCONB836,RCON,041/051,2017-03-31,,-
4,Commercial and industrial loans,RCON1606,RCON1607,RCON1608,RCON,041/051,2017-03-31,,-
8,Lease financing receivables,RCON1226,RCON1227,RCON1228,RCON,041,2017-03-31,,-
M.1.f.(5),Itemized: Loans to finance agricultural production and other loans to farmers included in Schedule RC-N Memorandum item 1.f above,RCONK138,RCONK139,RCONK140,RCON,041,2017-03-31,,-
M.3.a,Loans secured by real estate to non-U.S. addressees (domicile) included in Schedule RC-N item 1 above,RCON1248,RCON1249,RCON1250,RCON,041,2001-03-31,,-
M.3.b,Loans to and acceptances of foreign banks included in Schedule RC-N item 2 above,RCON5380,RCON5381,RCON5382,RCON,041,2001-03-31,,-
M.3.c,Commercial and industrial loans to non-U.S. addressees (domicile) included in Schedule RC-N item 4 above,RCON1254,RCON1255,RCON1256,RCON,041,2001-03-31,,-
M.3.d,"Leases to individuals for household, family, and other personal expenditures included in Schedule RC-N item 8 above",RCONF166,RCONF167,RCONF168,RCON,041,2007-03-31,,-
M.4,Loans to finance agricultural production and other loans to farmers included in Schedule RC-N item 7 above,RCON1594,RCON1597,RCON1583,RCON,041,2017-03-31,,-
1.a,"Construction, land development, and other land loans",RCONF172,RCONF174,RCONF176,RCON,051,2017-03-31,,-
1.c,"1-4 family residential: HELOCs (revolving, open-end)",RCON5398,RCON5399,RCON5400,RCON,051,2017-03-31,,-
1.e,1-4 family residential: Closed-end junior lien,RCONC238,RCONC239,RCONC230,RCON,051,2017-03-31,,-
1.g,Nonfarm nonresidential: Owner-occupied,RCONF178,RCONF180,RCONF182,RCON,051,2017-03-31,,-
1.h,Nonfarm nonresidential: Other,RCONF179,RCONF181,RCONF183,RCON,051,2017-03-31,,-
5.d,Loans to individuals: Other consumer,RCONK216,RCONK217,RCONK218,RCON,051,2017-03-31,,-
M.4.a,Nonaccrual loans: Additions to nonaccrual during the year,-,-,-,RCON,051,2017-03-31,single-column memorandum (nonaccrual flow); code in mdrm_single,RCONC410
M.4.b,Nonaccrual loans: Sales of nonaccrual loans during the year,-,-,-,RCON,051,2017-03-31,single-column memorandum (nonaccrual flow); code in mdrm_single,RCONC411
